Item Classification,Item Type,Item ID,Item ID,SOP# or item shortname convention,Course Title (include Site),Revision Number,"Revision Date
(dd/mmm/yyyy)",Course Description,Domain,Assignment Type,"Approval Date 
(dd/mmm/yyyy)",Item Category,Item Sub-type,Version,Initial Number,Initial Period,Initial Basis,Content Item Link,Content Item ID,Status Check - AB,
Online,Document (DOC),LSG-BED-4489151,LSG-BED-4489151,4489151,"4489151 UOP,BPG 140/150 GLASS COLUMN-ID C-700-00 (PPA MA Sites)",D,17-Dec-24,"The purpose of this document is to describe the steps which must be carried out for the operation of the BPG glass column.

Operation of this equipment will be done by qualified personnel. This procedure is to be used for the operation of the BPG glass column.

Currently used for APTAC stripping process for XQ.",BED,Required (REQ),12/17/2024,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=4489151;pOrgId=300000001488573,LSG-BED-4489151-C01,Current,
Online,Document (DOC),LSG-BED-4489674,LSG-BED-4489674,4489674,"4489674 UOP, OPERATION OF THE IS5 FT-IR (PPA MA Sites)",A2,7-Jun-23,This procedure describes all unit operations of the iS5 FT-IR. This procedure applies whenever the iS5 FT-IR is used. This document will be utilized by qualified manufacturing personnel.,BED,Required (REQ),6/7/2023,LSG (LSG),Standard Operating Procedure,A2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:4489674,LSG-BED-4489674-C01,Current,
Online,Document (DOC),LSG-BED-100022204,LSG-BED-100022204,100022204,"100022204 PROC, HS250 CERIC SULFATE QUAL (PPA MA Campus)",F,8-Oct-24,Batch record for POROS HS250 Coating 60G Ceric Sulfate Qualification,BED,Required (REQ),10/8/2024,LSG (LSG),Standard Operating Procedure,F,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100022204;pOrgId=300000001488573,LSG-BED-100022204-C01,Current,
Online,Document (DOC),LSG-BED-100023390,LSG-BED-100023390,100023390,100023390 V7020 Glass Lined cleaning Form (PPA MA Campus),D,26-Dec-23,Refer to UOP 4470229 (30 Gallon Glass Lined Reactor Operation and Cleaning V-7020) for a detailed description of each step,BED,Required (REQ),12/26/2023,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100023390,LSG-BED-100023390-C01,Current,
Online,Document (DOC),LSG-BED-100023448,LSG-BED-100023448,100023448,100023448 MEHQ IN DMAP/APTAC BY HPLC (PPA MA Campus),E,25-Oct-24,Refer to SOP 4483113 for form use.,BED,Required (REQ),10/25/2024,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100023448;pOrgId=300000001488573,LSG-BED-100023448-C01,Current,
Online,Document (DOC),LSG-BED-100023464,LSG-BED-100023464,100023464,"100023464 PROC, ZAGE REPORT EXP MATERIAL (PPA MA Campus)",A1,9-Mar-22,"To capture SAP aging or expiring material within the Bedford / Framingham site.

Distribution / Shipping Personnel.",BED,Required (REQ),3/9/2022,LSG (LSG),Standard Operating Procedure,A1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100023464,LSG-BED-100023464-C01,Current,
Online,Document (DOC),LSG-BED-100023630,LSG-BED-100023630,100023630,"100023630 UOP,ORION STAR A213 O2 METER (PPA MA Campus)",C,18-Dec-24,"The purpose of this document is to instruct users on the proper use and maintenance of the
Thermo Scientific Orion Star A213 Bench top RDO/DO Meter and to ensure that measurements
made with it are done according to the manufacturers recommendations",BED,Required (REQ),12/18/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100023630;pOrgId=300000001488573,LSG-BED-100023630-C01,Current,
Online,Document (DOC),LSG-BED-100023644,LSG-BED-100023644,100023644,"100023644 FORM, BDX/XT CALC SPREADSHEET (PPA MA Campus)",E,18-Mar-24,"Includes tabs for CapSuit Raw Data, SeQ Raw Data and data template",BED,Required (REQ),3/18/2024,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100023644,LSG-BED-100023644-C01,Current,
Online,Document (DOC),LSG-BED-100023720,LSG-BED-100023720,100023720,"100023720 UOP, HORIBA PH METER (PPA MA Campus)",D,31-Mar-25,"To describe the steps which must be carried out for the calibration and operation of the Horiba F-52 pH meter.

Qualified Manufacturing personnel will perform the operation of this equipment.",BED,Required (REQ),3/31/2025,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100023720;pOrgId=300000001488573,LSG-BED-100023720-C01,Updated,
Online,Document (DOC),LSG-BED-100023723,LSG-BED-100023723,100023723,"100023723 PROC, 4400898 PROCESSING - CDP-Star RTU (PPA MA Campus)",N,6-Mar-25,Procedure for CDP-Star RTU Sysmex 155L formulation,BED,Required (REQ),3/6/2025,LSG (LSG),Standard Operating Procedure,N,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100023723;pOrgId=300000001488573,LSG-BED-100023723-C01,Updated,
Online,Document (DOC),LSG-BED-100024370,LSG-BED-100024370,100024370,100024370 Bedford ECO Approvers by Role (PPA MA Campus),N,8-Oct-24,This chart breaks down whom is needed for approval by type of document change.,BED,Required (REQ),10/8/2024,LSG (LSG),Standard Operating Procedure,N,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100024370;pOrgId=300000001488573,LSG-BED-100024370-C01,Current,
Online,Document (DOC),LSG-BED-100024913,LSG-BED-100024913,100024913,"100024913 FORM, HORIBA PH CALIBRATION (PPA MA Campus)",C,16-Sep-24,Refer to SOP 100023720,BED,Required (REQ),9/16/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100024913;pOrgId=300000001488573,LSG-BED-100024913-C01,Current,
Online,Document (DOC),LSG-BED-100025400,LSG-BED-100025400,100025400,"100025400 UOP, AKTA PURE OPERATION (PPA MA Campus)",J,16-Sep-24,"To describe the steps for how to operate and maintain the �KTA Pure 25 liquid chromatography
system.

Qualified Quality Control and Column Production personnel will perform the operation of this
equipment.",BED,Required (REQ),9/16/2024,LSG (LSG),Standard Operating Procedure,J,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100025400;pOrgId=300000001488573,LSG-BED-100025400-C01,Current,
Online,Document (DOC),LSG-BED-100025401,LSG-BED-100025401,100025401,100025401 DYNAMIC BINDING CAPACITY HS250 (PPA MA Campus),F,4-Mar-24,"This SOP describes the test procedure for dynamic binding capacity on cation exchange batches of POROS HS250 media.

The test should be run on all POROS HS250 batches as a part of the QC test protocol to determine batch acceptability (using the appropriate specification sheets).",BED,Required (REQ),3/4/2024,LSG (LSG),Standard Operating Procedure,F,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100025401,LSG-BED-100025401-C01,Current,
Online,Document (DOC),LSG-BED-100025402,LSG-BED-100025402,100025402,"100025402 PROC,IONIC CAPACITY TEST HS250 (PPA MA Campus)",D,29-Aug-22,"This SOP describes the test procedure for ionic capacity test on cation exchange batches of POROS HS250 media.

The test should be run on all POROS HS250 batches as a part of the QC test protocol to monitor batch consistency. This test is a run and record test. Performance capability will be plotted using 43.0-96.7 micomol/mL as an internal tolerance window. Any outliers in the process capability plot will be reviewed by QA, QC, and Manufacturing to determine if any actions are required.",BED,Required (REQ),8/29/2022,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100025402,LSG-BED-100025402-C01,Current,
Online,Document (DOC),LSG-BED-100025403,LSG-BED-100025403,100025403,"100025403 PROC,PROTEIN SEPARATION HS250 (PPA MA Campus)",E00,2-May-24,The purpose of this SOP is to describe the procedure for performing a standardized gradient elution protein separation assay on batches of POROS HS250 media.,BED,Required (REQ),5/2/2024,LSG (LSG),Standard Operating Procedure,E00,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100025403;pOrgId=300000001488573,LSG-BED-100025403-C01,Current,
Online,Document (DOC),LSG-BED-100026477,LSG-BED-100026477,100026477,"100026477 PROC, 4457005 PROCESSING - CDP-Star Precip(PPA MA Campus)",C,17-Sep-24,"Procedure for CDP-Star Precipitate Solution (12.4 mg/mL) in 0.1M AMP, unbuffered",BED,Required (REQ),9/17/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100026477;pOrgId=300000001488573,LSG-BED-100026477-C01,Current,
Online,Document (DOC),LSG-BED-100027610,LSG-BED-100027610,100027610,100027610 SPA450 Processing (PPA MA Campus),F1,25-Feb-22,Batch record for POROS SPA450 coupling 2.5Kg (P/N 100026179),BED,Required (REQ),2/25/2022,LSG (LSG),Standard Operating Procedure,F1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100027610,LSG-BED-100027610-C01,Current,
Online,Document (DOC),LSG-BED-100027852,LSG-BED-100027852,100027852,"100027852 FORM,4400898 IN-PROCESS SYSMEX (PPA MA Campus)",E1,2-May-23,"Includes instructions, plate layout, raw data in process and analysis in process tabs",BED,Required (REQ),5/2/2023,LSG (LSG),Standard Operating Procedure,E1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100027852,LSG-BED-100027852-C01,Current,
Online,Document (DOC),LSG-BED-100028079,LSG-BED-100028079,100028079,"100028079 SOP,ON-BEAD CDI UV TEST METHOD (PPA MA Campus)",D,26-Dec-23,"This SOP describes the procedure used to quantify CDI density by UV on POROS beads.

The test should be run on POROS Capture Select AAV batches as a part of the product test protocol.",BED,Required (REQ),12/26/2023,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100028079,LSG-BED-100028079-C01,Current,
Online,Document (DOC),LSG-BED-100028080,LSG-BED-100028080,100028080,"100028080 FORM, ON-BEAD CDI UV TEST (PPA MA Campus)",B,26-Dec-23,Refer to SOP 100028079 for use,BED,Required (REQ),12/26/2023,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100028080,LSG-BED-100028080-C01,Current,
Online,Document (DOC),LSG-BED-100028081,LSG-BED-100028081,100028081,"100028081 SOP, BCA COUPLED PROTEIN TEST (PPA MA Campus)",K,29-Sep-23,"This SOP describes the test procedure for measuring the amount of protein immobilized on a coupled affinity resin with the bicinchoninic acid (BCA) assay.

The test should be run on all POROS Affinity resins, such as CaptureSelect AAV9 and AAV8 as a part of the Quality Control departments test protocol to determine batch acceptability (with comparison to appropriate specification sheets).",BED,Required (REQ),9/29/2023,LSG (LSG),Standard Operating Procedure,K,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100028081,LSG-BED-100028081-C01,Current,
Online,Document (DOC),LSG-BED-100028082,LSG-BED-100028082,100028082,"100028082 FORM, BCA COUPLED PROTEIN TEST (PPA MA Campus)",L,29-Sep-23,Refer to SOP 100028081 for use,BED,Required (REQ),9/29/2023,LSG (LSG),Standard Operating Procedure,L,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100028082,LSG-BED-100028082-C01,Current,
Online,Document (DOC),LSG-BED-100028286,LSG-BED-100028286,100028286,"100028286 UOP, VWR Circulating Chiller (PPA MA Campus)",A1,6-Aug-20,"The purpose of this document is to define the procedure required to operate and clean the VWR
Advanced Digital Controller Refrigerated/Heated Circulating Chiller (Model No: 89202-978
AD07R-40-V11B).",BED,Required (REQ),8/6/2020,LSG (LSG),Standard Operating Procedure,A1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100028286,LSG-BED-100028286-C01,Current,
Online,Document (DOC),LSG-BED-100029983,LSG-BED-100029983,100029983,100029983 DELTA V USER REQUIREMENTS SPEC (PPA MA Sites),A2,25-Mar-22,Delta V User Requirement Specification Manual,BED,Required (REQ),3/25/2022,LSG (LSG),Standard Operating Procedure,A2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100029983,LSG-BED-100029983-C01,Current,
Online,Document (DOC),LSG-BED-100030043,LSG-BED-100030043,100030043,100030043 DELTA V SYSTEM REQUIREMENT SPEC (PPA MA Campus),B,17-Dec-24,"The System Requirement Specification (SRS) describes the mid-level requirements, from a system perspective, that are required to meet the quality, business and regulatory compliance needs of Thermo Fisher Scientific.
This document will define the SRS associated with the Bedford campus implementation of Emerson Process Management DeltaV (Delta V).
Since this is 3rd party software, the specifications will not detail out of the box features and functions but rather focus on specific requirements and/or configuration changes needed for the Bedford campus.

1. The system requirements defined in this document are designed for the implementation of the Delta V application at the Bedford campus.
2. The SRS is mid-level in nature and defines the mid-level requirements of intended functionality that will be achieved by implementing the Delta V, subsequently referred to in this document as ""the system"".
3. The System Requirement Specification (SRS) includes trace-ability from each requirement back to the Delta V User Requirement Specification (URS). When each system requirement linked to a user requirement has been proven through testing executed in the qualification protocols the correlating user requirement is also considered to be proved based on the same results.
4. The numbering system used to define each SRS statement is for tracking and trace-ability purposes only. The numbers are not intended to be sequential or ordered.",BED,Required (REQ),12/17/2024,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100030043;pOrgId=300000001488573,LSG-BED-100030043-C01,Current,
Online,Document (DOC),LSG-BED-100030793,LSG-BED-100030793,100030793,100030793 Oligo dT - Moderna Custom 10 L Processing (PPA MA Campus),J,6-Nov-23,Batch record for POROS OLIGO dT 2.5Kg Coating (P/N 100030790),BED,Required (REQ),11/6/2023,LSG (LSG),Standard Operating Procedure,J,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100030793,LSG-BED-100030793-C01,Current,
Online,Document (DOC),LSG-BED-100030930,LSG-BED-100030930,100030930,100030930 LO/TO POROS POLY REACTOR V2110 (PPA MA Campus),A1,27-Oct-20,"The purpose of this document is to detail the steps required to perform Lock Out and Tag Out (LO/TO) on the POROS 40 Gallon Polymerization Reactor (V-2110), in accordance with OSHA 29CFR 1910.147 requirements.

All trained production personnel performing any function that requires the use of LO/TO for V-2110 shall utilize this procedure.",BED,Required (REQ),10/27/2020,LSG (LSG),Standard Operating Procedure,A1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100030930,LSG-BED-100030930-C01,Current,
Online,Document (DOC),LSG-BED-100031055,LSG-BED-100031055,100031055,100031055 1.0m2 Rosenmund Nutsche Operation and Cleaning (V-2560) (PPA MA Sites),B,23-Oct-23,UOP for V-2560,BED,Required (REQ),10/23/2023,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100031055,LSG-BED-100031055-C01,Current,
Online,Document (DOC),LSG-BED-100031056,LSG-BED-100031056,100031056,100031056 1.0M2 ROSENMUND NUTSCHE V-2570 (PPA MA Sites),B,15-Jul-24,UOP for V-2570,BED,Required (REQ),7/15/2024,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100031056;pOrgId=300000001488573,LSG-BED-100031056-C01,Current,
Online,Document (DOC),LSG-BED-100031057,LSG-BED-100031057,100031057,100031057 LO/TO 1.0M2 ROSENMUND  V-2560 (PPA MA Sites),B1,1-Sep-22,"The purpose of this document is to detail the steps required to Lock-Out and Tag-Out(LO/TO) as per OSHA 29CFR 1910.147 the 1.0m2 Rosenmund Nutsche (V-2560) vessel for all production related processes and procedures.

All trained production personnel performing any function that requires the use of LO/TO for V-2560 shall utilize this procedure.",BED,Required (REQ),9/1/2022,LSG (LSG),Standard Operating Procedure,B1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100031057,LSG-BED-100031057-C01,Current,
Online,Document (DOC),LSG-BED-100031058,LSG-BED-100031058,100031058,100031058 LO/TO 1.0M2 ROSENMUND V-2570 (PPA MA Sites),B1,1-Sep-22,"The purpose of this document is to detail the steps required to Lock-Out and Tag-Out(LO/TO) as per OSHA 29CFR 1910.147 the 1.0m2 Rosenmund Nutsche (V-2570) vessel for all production related processes and procedures.

All trained production personnel performing any function that requires the use of LO/TO for V-2570 shall utilize this procedure.",BED,Required (REQ),9/1/2022,LSG (LSG),Standard Operating Procedure,B1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100031058,LSG-BED-100031058-C01,Current,
Online,Document (DOC),LSG-BED-100032083,LSG-BED-100032083,100032083,"100032083 UOP,POWDER TRANSFER SYS VL-2660 (PPA MA Sites)",B,18-Dec-24,"The purpose of this Unit Operating Procedure is to define the steps, which must be carried out for the safe operation of the Powder Transfer System (PTS).

Operation of this equipment will be done by qualified Production personnel. This equipment is used to transfer POROS material between production equipment.",BED,Required (REQ),12/18/2024,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100032083;pOrgId=300000001488573,LSG-BED-100032083-C01,Current,
Online,Document (DOC),LSG-BED-100032399,LSG-BED-100032399,100032399,"100032399 UOP, FLEXARM (HOIST-08) (PPA MA Sites)",A2,11-Jan-23,"The purpose of this document is to describe the steps which must be carried out for the use of the FlexArm part manipulator (HOIST-08).

Operation of this equipment will be done by qualified personnel. This procedure is to be used for the operation of the FlexArm part manipulator (HOIST-08).",BED,Required (REQ),1/11/2023,LSG (LSG),Standard Operating Procedure,A2,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100032399,LSG-BED-100032399-C01,Current,
Online,Document (DOC),LSG-BED-100032515,LSG-BED-100032515,100032515,100032515 XQ REGULATORY SUPPORT PACKAGE (PPA MA Sites),C,14-Mar-24,"This Regulatory Support Packageis a compilation of information prepared by
Life Technologies (a ThermoFisher Scientific Brand) and hereafter referred to as
LTC, for customers to reference when documenting biopharmaceutical production
processes that include the use of POROSÂ® XQ Strong Anion Exchange Resin. This RSP
includes information on the following:
-The name and location of the manufacturing site
-A technical description of the product (including physical and chemical
characteristics and stability) and materials used in the manufacture of the
product
-A summary of the manufacturing process (including process controls used during
manufacturing and packaging)
-Specifications and analytical methods used to ensure the performance of the
product is achieved.",BED,Required (REQ),3/14/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100032515,LSG-BED-100032515-C01,Current,
Online,Document (DOC),LSG-BED-100032821,LSG-BED-100032821,100032821,100032821 CONDUCT DETERMINATION FOR AKTA (PPA MA Sites),D,25-Jul-22,The purpose of this SOP is to describe the procedure to determine the conductivity of the AKTA Purifier and Pure instruments in the QC Department.,BED,Required (REQ),7/25/2022,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100032821,LSG-BED-100032821-C01,Current,
Online,Document (DOC),LSG-BED-100032881,LSG-BED-100032881,100032881,100032881 POROS OLIGO DT PFD FLOW DIAGR (PPA MA Sites),A1,10-Sep-20,Production flow diagram for POROS Oligo dT 100030790,BED,Required (REQ),9/10/2020,LSG (LSG),Standard Operating Procedure,A1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100032881,LSG-BED-100032881-C01,Current,
Online,Document (DOC),LSG-BED-100033171,LSG-BED-100033171,100033171,"100033171 UOP,OMEGA HANDY-LOGGER OM-2041 (PPA MA Sites)",A1,10-Sep-20,"The purpose of this document is to instruct users on the proper use and maintenance of the
Omega Handy Logger OM-2041 Temperature Logger and to ensure that measurements made
with it are done according to manufacturers recommendations.",BED,Required (REQ),9/10/2020,LSG (LSG),Standard Operating Procedure,A1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100033171,LSG-BED-100033171-C01,Current,
Online,Document (DOC),LSG-BED-100033969,LSG-BED-100033969,100033969,"100033969 SOP,IONIC CAP POROS OLIGO DT20 (PPA MA Sites)",E,29-Aug-22,"This SOP describes the test procedure for determining ionic capacity of batches of POROS Oligo dT20 coupled affinity resin. This applies to Oligo dT450 and Oligo dT150 and any other Oligo dT20 resins manufactured.

The test should be run on all POROS Oligo dT20 batches as a part of the QC test protocol to determine batch acceptability (by comparison to appropriate specification sheets). This apples to Oligo dT450 and Oligo dT150 and any other Oligo dT20 resins manufactured",BED,Required (REQ),8/29/2022,LSG (LSG),Standard Operating Procedure,E,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100033969,LSG-BED-100033969-C01,Current,
Online,Document (DOC),LSG-BED-100034449,LSG-BED-100034449,100034449,100034449 Project Review Form (PPA MA Sites),B,17-Mar-25,Required form to conduct a project overview,BED,Required (REQ),3/17/2025,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100034449;pOrgId=300000001488573,LSG-BED-100034449-C01,Updated,
Online,Document (DOC),LSG-BED-100034450,LSG-BED-100034450,100034450,"100034450 UOP, TROPIX 500L PROCESS EQUIPMENT (PPA MA Sites)",C,14-Aug-24,"The purpose of this unit operating procedure (UOP) is to describe the use of the Tropix 500L Process equipment including the tank, the Variable Frequency Drive (VFD), and the peristaltic pump.

The scope of this document includes the Tropix 500L tank, Variable Frequency Drive (VFD), and the peristaltic pump. It applies to all Thermo Fisher employees operating this equipment.",BED,Required (REQ),8/14/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100034450;pOrgId=300000001488573,LSG-BED-100034450-C01,Current,
Online,Document (DOC),LSG-BED-100034788,LSG-BED-100034788,100034788,100034788 TROPIX LARGE SCALE CLEANING PROTOCOL (PPA MA Sites),D,14-Aug-24,Refer to SOP M4080,BED,Required (REQ),8/14/2024,LSG (LSG),Standard Operating Procedure,D,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100034788;pOrgId=300000001488573,LSG-BED-100034788-C01,Current,
Online,Document (DOC),LSG-BED-100035831,LSG-BED-100035831,100035831,100035831 AAV8 14 L Processing (PPA MA Sites),M,8-Jul-25,Batch record for POROS Capture Select AAV8 4Kg Coating (P/N 100034524),BED,Required (REQ),7/8/2025,LSG (LSG),Standard Operating Procedure,M,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100035831;pOrgId=300000001488573,LSG-BED-100035831-C01,Updated,
Online,Document (DOC),LSG-BED-100035832,LSG-BED-100035832,100035832,"100035832 PROC, AAV9 4KG 100026875 (PPA MA Sites)",N,8-Jul-25,Batch record for POROS Capture Select AAV9 4Kg Coating (P/N 100026875),BED,Required (REQ),7/8/2025,LSG (LSG),Standard Operating Procedure,N,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100035832;pOrgId=300000001488573,LSG-BED-100035832-C01,Updated,
Online,Document (DOC),LSG-BED-100036277,LSG-BED-100036277,100036277,100036277 BULK WASTE PICKUP CHECKLIST (PPA MA Sites),A1,9-Mar-22,Refer to SOP 4379040,BED,Required (REQ),3/9/2022,LSG (LSG),Standard Operating Procedure,A1,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100036277,LSG-BED-100036277-C01,Current,
Online,Document (DOC),LSG-BED-100036329,LSG-BED-100036329,100036329,100036329 POROS AAV9 CAPTURE SELECT RT STABILITY (PPA MA Sites),B,19-Dec-24,"Determine the real time stability of 100026875, POROS AAV9 resins. POROS AAV9 has been given a 12 month initial ship by period, based on accelerated stability studies",BED,Required (REQ),12/19/2024,LSG (LSG),Standard Operating Procedure,B,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100036329;pOrgId=300000001488573,LSG-BED-100036329-C01,Updated,
Online,Document (DOC),LSG-BED-100036335,LSG-BED-100036335,100036335,100036335 DELTA V ACRONIS SERVER BACKUP & RECOVERY (PPA MA Sites),OBS per CO2627486,4-Apr-22,"To document the backup and recovery procedure for Delta V system located at 2P Bedford.

This procedure applied to all servers utilized Acronis Backup Method within Delta V, including the main servers and OIT stations.",BED,Required (REQ),4/4/2022,LSG (LSG),Standard Operating Procedure,OBS per CO2627486,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100036335,LSG-BED-100036335-C01,Current,
Online,Document (DOC),LSG-BED-100036345,LSG-BED-100036345,100036345,100036345 SUPPLIER MGMT EVALUATION & RE-EVALUATION (PPA MA Sites),L,10-Dec-25,"The purpose of this procedure is to describe the external supplier selection and
qualification process, as well as the evaluation of supplier quality for the
materials and services provided to Thermo Fisher Scientific's Bedford Site
(includes Bedford, MA and Framingham, MA locations).",BED,Required (REQ),12/10/2025,LSG (LSG),Standard Operating Procedure,L,28,Days,Event,https://egbp.fa.us6.oraclecloud.com/fscmUI/faces/deeplink?objType=PIM_ITEM&action=EDIT&objKey=pItemNumber=100036345;pOrgId=300000001488573,LSG-BED-100036345-C01,updated,
Online,Document (DOC),LSG-BED-100036537,LSG-BED-100036537,100036537,"100036537 FORM, 31XX POP POLYMER POOLING (PPA MA Sites)",C,1-Jan-24,Batch record for pooling of 31XX POP 4/6,BED,Required (REQ),1/1/2024,LSG (LSG),Standard Operating Procedure,C,28,Days,Event,http://wmprd.thermofisher.com:5555/ABIWSLOTUS/index.dsp?I_MATNR=o:100036537,LSG-BED-100036537-C01,Current,
