Item,Title,Security Domain ID,Assignment Type,Method ID,Source ID,Active,Safety Related,Create Date,Revision Number,Approved,Approval Date,Duration,Credit Hours,CPE Hours,Contact Hours,Description,SKU,Production Ready,Process ID,Approval Required,Initial Period,Initial Number,Initial Basis,Retraining Period,Retraining Number,Retraining Basis,Rating,Course ID
DOC LSG-BED-4367538 (Rev B - 17/Dec/2025 07:00 PM America/Indianapolis),4367538 ACCUMET AP75 CONDUCTIVITY METER (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,B,No,17-Dec-25,,,,,"This procedure describes the operation, maintenance and calibration of the accumet AP75A Conductivity Meter.",SKU-1675248,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4368683 (Rev K - 03/Sep/2024 11:00 AM America/Indianapolis),"4368683 PROC,POP POLYMER SAMPLE PLATES (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,K,No,3-Sep-24,,,,,This SOP describes the procedure followed when preparing sequencing sample plates used for POP Polymer functional testing.The procedure should be followed when preparing sample plates as a part of the Product Test protocol to determine batch acceptability (with comparison to appropriate specifications sheets and Incoming Material Specification).,SKU-1675249,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4369489 (Rev E - 17/Dec/2025 07:00 PM America/Indianapolis),4369489 POROS MABCAPTURE A PROCESS FLOW DIAG (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,E,No,17-Dec-25,,,,,Process flow diagram for all A450 products,SKU-1675250,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4369515 (Rev T - 26/Jun/2025 07:00 PM America/Indianapolis),"4369515 PROC, POROS EP450 COATING (20 KG) (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,T,No,26-Jun-25,,,,,Batch record for POROS EP450 Coating 20 Kg (P/N 4369512),SKU-1675251,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4369517 (Rev W - 18/Dec/2025 07:00 PM America/Indianapolis),4369517 POROS 50 R4 POLYMERIZATION 300 GAL (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,W,No,18-Dec-25,,,,,R450 Batch Record,SKU-1675252,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4369532 (Rev K - 29/Dec/2025 07:00 PM America/Indianapolis),4369532 A450 Processing (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,K,No,29-Dec-25,,,,,Batch record for POROS A450 coupling 2.5Kg (P/N 4375596 and 4370241),SKU-1675253,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4369572 (Rev J2 - 08/Feb/2023 10:00 AM America/Indianapolis),"4369572 PROC, FACILITY CLEANING 2 PRESTON CT (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,J2,No,8-Feb-23,,,,,"The purpose of this Standard Operating Procedure (SOP) is to define the cleaning proceduresand materials used for cleaning the facility and equipment associated with the POROS, PilotPlant, BDX, and Small Scale manufacturing areas in the facility at 2 Preston Court, Bedford, MA.",SKU-1675254,Y,,No,Days,28,Event,Days,365,Event,,
DOC LSG-BED-4371133 (Rev C - 13/Feb/2025 07:00 PM America/Indianapolis),4371133 LUMINOSKAN ASCENT MAINTENANCE & CAL (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,C,No,13-Feb-25,,,,,This SOP details the procedures used to maintain and calibrate the Luminoskan Ascent used at the Bedford facilities.This procedure covers all Luminoskan Ascents in the manufacture and testing of products made in the Bedford facilities.,SKU-1675255,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4371392 (Rev V - 16/Nov/2025 07:00 PM America/Indianapolis),4371392 BIOBURDEN DETERMINATION POROS & POLYMERS (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,V,No,16-Nov-25,,,,,"This SOP details the steps to follow when sampling POROS media or Synthesis Polymers for the determination of microbial contamination.This procedure is to be performed by qualified Quality Control personnel whenever sampling and shipping of POROS media or Synthesis Polymers, for the determination of microbial contamination is required. Testing of Bioburden is to be completed by ATS (formerly MicroTest) or another qualified, external vendor.",SKU-1675256,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4374323 (Rev R - 23/Feb/2024 10:00 AM America/Indianapolis),"4374323 QCM, CL SUBSTRATES & ENHANCER REAGENTS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,R,No,23-Feb-24,,,,,"This SOP details the qualifying assessment of the Chemiluminescent Polymers, Enhancers, Substrate Concentrates, RTU (Ready-To-Use) Substrate Formulations and RTU Substrate/Enhancer Formulations.This procedure is to be used by qualified Product Test personnel whenever analysis ofChemiluminescent Polymers, Enhancers, Substrate Concentrates, RTU Substrate Formulations or RTU Substrate/Enhancer Formulations is required.",SKU-1675257,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4374462 (Rev C - 30/Mar/2025 07:00 PM America/Indianapolis),"4374462 PROC, 4374345 PROCESSING - NA-Star bottling (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,C,No,30-Mar-25,,,,,Bottling procedure for NA-Star Assay Buffer,SKU-1675258,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4374465 (Rev F - 30/Mar/2025 07:00 PM America/Indianapolis),"4374465 PROC, 4374348 PACKAGING - NA-Star Flu (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,F,No,30-Mar-25,,,,,Procedure for NA-Star Flu surveillance assay kit,SKU-1675259,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4374690 (Rev F1 - 10/Aug/2022 11:00 AM America/Indianapolis),"4374690 QCM, cAMP-SCREEN/cAMP-SCREEN DIRECT (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,F1,No,10-Aug-22,,,,,This SOP details the qualifying assessment of the cAMP-Screen or cAMP-Screen Direct product line.This procedure is to be used by qualified Product Test personnel whenever analysis of cAMPScreen or cAMP-Screen Direct components is required.,SKU-1675260,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4374772 (Rev B - 04/Dec/2020 10:00 AM America/Indianapolis),"4374772 PROC, T4136 FORMULATION - cAMP Screen anti-cAMP (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,B,No,4-Dec-20,,,,,Procedure for cAMP-Screen anti-cAMP antibody solution formulation,SKU-1675261,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4374931 (Rev D1 - 10/Aug/2022 11:00 AM America/Indianapolis),4374931 CAMP-SCREEN ASSAY DATA ANALYSIS TEMPLATE (PPA MA Sites),BED,REQ,,,Yes,No,8-Apr-25,D1,No,10-Aug-22,,,,,Data sheet. Refer to SOP 4374690,SKU-1675262,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375348 (Rev E - 23/Oct/2024 11:00 AM America/Indianapolis),"4375348 FORM, DEG450-DEG CONC BY RI (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,23-Oct-24,,,,,Calculation worksheet for DEG concentration by RI,SKU-1675263,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375349 (Rev E - 23/Oct/2024 11:00 AM America/Indianapolis),"4375349 FORM, EP450-TPTGE CONC BY RI (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,23-Oct-24,,,,,Calculation worksheet for determining EP450 TPTGE concentration by RI,SKU-1675264,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375453 (Rev D - 13/Feb/2025 07:00 PM America/Indianapolis),"4375453 QCM, NA-STAR ASSAY (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,D,No,13-Feb-25,,,,,This SOP details the qualifying assessment of the NA-Star product line.This procedure is to be used by qualified Quality Control personnel whenever analysis of NA-Star substrate or other related components is required.,SKU-1675265,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375962 (Rev M - 13/Dec/2024 10:00 AM America/Indianapolis),"4375962 SOP,EHS CONFINED SPACE SAFETY (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,M,No,13-Dec-24,,,,,"This document describes the procedure for safe entry into, and work in, confined spaces.This procedure covers the identification of confined spaces and the permit requirements, protective measures and actions necessary to enter permit-required confined spaces.",SKU-1675266,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375963 (Rev J - 04/Oct/2024 11:00 AM America/Indianapolis),"4375963 SOP,EHS HOT WORK PERMITS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,J,No,4-Oct-24,,,,,"This document describes the procedure to be used by Life Technologies staff andContractors to authorize and monitor hot work activities.This procedure applies to all Life Technologies Massachusetts facilities.This procedure applies to hot work activities conducted by Life Technologies staff and Contractors at Life Technologies Massachusetts, U.S. sites.",SKU-1675267,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375964 (Rev L - 04/Oct/2024 11:00 AM America/Indianapolis),"4375964 SOP,EHS LOCKOUT/TAGOUT (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,L,No,4-Oct-24,,,,,"This document describes the procedure for ensuring the sites meet the requirements of the Companys standard for Lockout/Tagout.This procedure covers the identification of equipment with hazardous energy sources and employees authorized to perform work on them, using lockout/tagout procedures. It includes the preparation of equipment-specific procedures, training of authorized and affected employees, and managing contractors who perform lockout/tagout tasks. Finally, this procedure covers lockout/tagout work that is performed by groups of authorized employees or spans multiple work shifts.",SKU-1675268,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4375998 (Rev J - 26/May/2025 07:00 PM America/Indianapolis),4375998 BEDFORD GEL ICE/DRY ICE/AMBIENT SHIPPING (PPA MA Sites),BED,REQ,,,Yes,No,7-Apr-25,J,No,26-May-25,,,,,"To document and provide ambient & cold chain packaging guidelines for Bedford and Framingham distribution centers.This applies to Bedford and Framingham distribution centers which use insulated shippers to ship temperature controlled products, and ambient room temperature products.",SKU-1675269,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376722 (Rev M - 19/Nov/2024 10:00 AM America/Indianapolis),"4376722 PROC, 4376488 PROCESSING - SAM (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,M,No,19-Nov-24,,,,,Batch record for SAM processing (P/N 4376488),SKU-1675270,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376724 (Rev F - 02/Oct/2023 11:00 AM America/Indianapolis),"4376724 PROC, 4376489/4376490 PROCESSING - PAO/PCH (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,F,No,2-Oct-23,,,,,Batch record for Screening of Powdex Resin (PAO P/N 4376489 or PCH P/N 4376490),SKU-1675271,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376725 (Rev X - 10/Sep/2025 07:00 PM America/Indianapolis),"4376725 PROC, 4376491 PROCESSING - XTERM (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,X,No,10-Sep-25,,,,,Batch record for XTERMINATOR processing (P/N 4376491),SKU-1675272,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376726 (Rev S - 23/Oct/2024 11:00 AM America/Indianapolis),"4376726 FILLING, LABELING, PKG OF XTERM SOLUTION (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,S,No,23-Oct-24,,,,,"Batch record for filling, labeling, and packaging of Xterminator Solution",SKU-1675273,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376771 (Rev E - 19/Nov/2024 10:00 AM America/Indianapolis),"4376771 PROC, 100G GLASS LINED REACTOR - V-1320 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,19-Nov-24,,,,,The purpose of this procedure is to describe the steps necessary for the operation and cleaning of the 100 gallon glass lined reactor labeled as V-1320.This procedure applies whenever the 100 gallon glass lined reactor is used. This document should be utilized by qualified production personnel.,SKU-1675274,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376772 (Rev D04 - 28/May/2024 11:00 AM America/Indianapolis),"4376772 PROC, 200G GLASS LINED REACTOR - V-1300 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D04,No,28-May-24,,,,,The purpose of this procedure is to describe the steps necessary for the operation and cleaning of the 200 gallon glass lined reactor.This procedure applies whenever the 200 gallon glass lined reactors are used. This document should be utilized by qualified production personnel.,SKU-1675275,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376773 (Rev C - 13/Apr/2025 07:00 PM America/Indianapolis),"4376773 PROC, 0.5M2 SS STIRRED VESSEL - V-1450 (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,C,No,13-Apr-25,,,,,"The purpose of this Unit Operating Procedure is to define the steps that must be carried out for the operation of the Stainless Steel Stirred Process Vessel, also called 0.5micron stainless steel Nutsche.This procedure covers all process operations of the vessel including cleaning. These operations are utilized in the manufacture of Novus.",SKU-1675276,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376774 (Rev A2 - 25/Jan/2023 10:00 AM America/Indianapolis),"4376774 PROC, PASA PREP TANK (V-1460) (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,A2,No,25-Jan-23,,,,,The purpose of this document is to define the procedure required to operate and clean the PASA Prep Tank identified with tag number V-1460This procedure covers all unit operations of the PASA Prep Tank (V-1460). This procedure applies whenever the PASA Prep tank is used. This document should be utilized by qualified production personnel,SKU-1675277,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4376775 (Rev F - 17/Dec/2024 10:00 AM America/Indianapolis),"4376775 PROC, NOVUS FILL VESSEL (V-1470) (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,F,No,17-Dec-24,,,,,The purpose of this document is to define the procedure required to operate and clean the vessel identified with tag number V-1470.This procedure covers all unit operations of the Novus fill vessel (V-1470). This procedure applies whenever the vessel is used. This document should be utilized by qualified production personnel,SKU-1675278,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4377276 (Rev M00 - 22/May/2024 11:00 AM America/Indianapolis),"4377276 FORM, 1M2 STERI NUTSCHE CLEANING SHEET (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,M00,No,22-May-24,,,,,cleaning sheet for V-2430,SKU-1675279,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4377463 (Rev F4 - 09/Mar/2024 10:00 AM America/Indianapolis),"4377463 PROC, 101 MOVEMENT INTO IM & WM QC (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,F4,No,9-Mar-24,,,,,Receiving purchase order materials into Quality Control storage locations in SAP.- 101 Goods receipt for purchase order into warehouse/stores.- 102 Goods receipt for purchase order into warehouse - reversal.- 103 Goods receipt for purchase order into GR blocked stock.,SKU-1675280,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4377464 (Rev E - 13/Dec/2024 10:00 AM America/Indianapolis),"4377464 PROC, 101 - FG INVENTORY (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,13-Dec-24,,,,,Receiving purchase ordered material into warehouse managed locations in SAP.- 101 Goods receipt for purchase order into warehouse/stores.- 102 Goods receipt for purchase order into warehouse - reversal.- 103 Goods receipt for purchase order into GR blocked stock.- 104 Goods receipt for purchase order -> GR blocked stock - reversal.- 105 Release GR blocked stock for warehouse.- 106 Release GR blocked stock for warehouse - reversal.- 122 Return delivery to vendor.- 123 Reversal of return delivery.- 124 Return delivery from GR blocked stock.- 125 Return delivery from GR blocked stock - reversal.- 161 Returns for purchase order.,SKU-1675281,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4377465 (Rev D - 22/Jun/2025 07:00 PM America/Indianapolis),"4377465 PROC, PO RECEIPTS NON INVENTORY (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,D,No,22-Jun-25,,,,,Goods receipts of purchase order materials.This procedure applies to the receipt of purchase order materials.,SKU-1675282,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378338 (Rev D - 20/Jul/2025 07:00 PM America/Indianapolis),"4378338 PROC, PAO CAPACITY DETERMINATION (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,D,No,20-Jul-25,,,,,This SOP describes the procedure for the QC to determine the PAO Beads Capacity.This procedure applies whenever QC is calculating the PAO Beads Capacity.,SKU-1675283,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378340 (Rev C1 - 31/Oct/2022 11:00 AM America/Indianapolis),"4378340 PROC, PCH CAPACITY DETERMINATION (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C1,No,31-Oct-22,,,,,This SOP describes the procedure for the QC to determine the PCH Beads Capacity.This procedure applies whenever QC is calculating the PCH Beads Capacity.,SKU-1675284,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378345 (Rev J - 15/Feb/2024 10:00 AM America/Indianapolis),"4378345 PROC, PH/CONDUCT/CALIBRAT/S47MULTIMETER (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,J,No,15-Feb-24,,,,,This SOP describes how to calibrate the S47 pH and Conductivity Probes and take individual measurements.This calibration routine is to be completed each day of use. A message reminder to re-calibrate the pH and conductivity electrodes has been programmed to display every day. This procedure applies whenever the pH or conductivity is being calibrated or measured.,SKU-1675285,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378346 (Rev K - 18/Mar/2024 11:00 AM America/Indianapolis),"4378346 PROC,TEST BD XTERMINATOR/SAM3130XL GA (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,K,No,18-Mar-24,,,,,This SOP describes the procedure of testing the manufactured XTerminator Solution and SAM Solution on the 3130XL.This procedure applies whenever the manufactured XTerminator Solution and SAM Solution are being tested by the QC for suitability.,SKU-1675286,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378448 (Rev U - 26/Jun/2025 07:00 PM America/Indianapolis),"4378448 PROC, POROS OH250 COATING (60 KG) (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,U,No,26-Jun-25,,,,,Batch record for POROS OH250 processing 60 Kg (P/N 1-6359-00),SKU-1675287,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378450 (Rev C - 20/Jan/2025 10:00 AM America/Indianapolis),"4378450 PROC, 4375617 PROCESSING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,20-Jan-25,,,,,Procedure for Galacton-Plus Dimethyl acetal formulation,SKU-1675288,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378451 (Rev C - 20/Jan/2025 10:00 AM America/Indianapolis),"4378451 PROC, 4375618 PROCESSING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,20-Jan-25,,,,,Procedure for Galacton-Plus Phosphonate formulation,SKU-1675289,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378452 (Rev C - 20/Jan/2025 10:00 AM America/Indianapolis),"4378452 PROC, 4375619 PROCESSING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,20-Jan-25,,,,,Procedure for Galacton-Plus Methoxy enol ether formulation,SKU-1675290,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378453 (Rev C - 20/Jan/2025 10:00 AM America/Indianapolis),"4378453 PROC, T11569 PROCESSING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,20-Jan-25,,,,,Procedure for Bulk Galacton-Plus Phenol formulation,SKU-1675291,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378609 (Rev C1 - 31/Oct/2022 11:00 AM America/Indianapolis),"4378609 FORM, PAO CAPACITY CALCULATIONS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C1,No,31-Oct-22,,,,,PAO Capacity Calculation Form,SKU-1675292,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378611 (Rev C1 - 31/Oct/2022 11:00 AM America/Indianapolis),"4378611 FORM, PCH CAPACITY CALCULATIONS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C1,No,31-Oct-22,,,,,PCH Capacoty Calculation Form,SKU-1675293,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378612 (Rev A2 - 29/Nov/2022 10:00 AM America/Indianapolis),"4378612 FORM, PASA CAPACITY CALCULATIONS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,A2,No,29-Nov-22,,,,,Testing data calculation result form,SKU-1675294,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378614 (Rev C - 23/Nov/2021 10:00 AM America/Indianapolis),"4378614 FORM, S47 PH CONDUCTIVITY CALIBRATE LOG (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C,No,23-Nov-21,,,,,Refer to SOP 4378345,SKU-1675295,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378615 (Rev C - 15/Jul/2025 12:00 AM America/Indianapolis),"4378615 S3500 VERIFICATION (PPA MA Sites)
",BED,REQ,,,Yes,No,27-Jan-26,C,No,27-Jan-26,,,,,Refer to SOP 4378617 for use ,SKU-1725007,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378616 (Rev F - 18/Mar/2024 11:00 AM America/Indianapolis),"4378616 FORM,XTERMINATOR 3130XL FUNCT TEST DATA (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,F,No,18-Mar-24,,,,,Refer to SOP 4378346,SKU-1675296,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378617 (Rev F - 14/Jul/2025 07:00 PM America/Indianapolis),"4378617 PROC, S3500 PARTICLE SIZE ANALYSIS (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,F,No,14-Jul-25,,,,,This SOP details the operation of the Microtrac S3500 for the determination of Particle Size of XTERMINATOR material.This procedure is to be used primarily by the Quality Control and Manufacturing departments.,SKU-1675297,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378618 (Rev C1 - 12/Jan/2022 10:00 AM America/Indianapolis),"4378618 PROC, WEIGHT % SOLIDS ANALYSIS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C1,No,12-Jan-22,,,,,"This SOP details the operation of the Ohaus MB-45 Moisture Balance for the determination of Weight % Solids in PAO, PCH, and BD XTERMINATOR Solution.This procedure is to be used primarily by the Quality Control and Manufacturing departments.",SKU-1675298,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4378642 (Rev C1 - 28/Jan/2022 10:00 AM America/Indianapolis),"4378642 PROC, POLY(S-TBQ) & POLY( S-BDMQ) AGG (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,C1,No,28-Jan-22,,,,,This procedure pertains to the final acceptance testing of the polymeric enhancer Poly (TBQ)-Sulfite treated or the Poly (B-DMQ) - sulfite treated materials. The analyses to be performed with this test procedure include the aggregation test and the UV absorbance test.This procedure is to be used primarily by the Quality Control department.,SKU-1675299,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379039 (Rev G2 - 22/May/2023 11:00 AM America/Indianapolis),"4379039 FORM, TRUCK LOADING/UNLOADING CHECKLIST (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,G2,No,22-May-23,,,,,Refer to SOP 4379040,SKU-1675300,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379040 (Rev K2 - 02/May/2023 11:00 AM America/Indianapolis),"4379040 PROC, BULK TRUCK LOADING/UNLOADING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,K2,No,2-May-23,,,,,"To provide the proper handling and unloading of Solvents and Hazardous Liquid Wastes in accordance with federal, state, local, and Thermo Fisher requirements.This SOP describes the delivery and unloading of flammable materials to the storage tanks located at 2 Preston Court and the transfer of Aqueous/Organic and Organic Waste from the waste tanks to waste trucks. The procedure incorporates Federal, State and Local regulations and Thermo Fisher requirements. This policy is incorporated in the Spill Prevention, Control and Counter measures Plan for 2 Preston Court. This procedure specifically applies to the loading and unloading of the following materials.1. Organic Waste2. Aqueous/Organic Waste3. Acetone4. Methanol5. Tetrahydrofuran",SKU-1675301,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379137 (Rev D - 13/Feb/2025 07:00 PM America/Indianapolis),"4379137 FORM, NA-STAR ASSAY DATA (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,D,No,13-Feb-25,,,,,Data analysis template,SKU-1675302,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379332 (Rev J - 04/Mar/2025 07:00 PM America/Indianapolis),"4379332 SOP,EHS CNTRL EXPOSURE INFECTIOUS AGENTS (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,J,No,4-Mar-25,,,,,This document describes the procedures to be taken at Company facilities to eliminate or minimize occupational exposure of employees to human blood or other potentially infectious materials.,SKU-1675303,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379333 (Rev L - 22/Jun/2025 07:00 PM America/Indianapolis),"4379333 SOP,EHS HAZARD COMMUNICATION (PPA MA Sites)",BED,REQ,,,Yes,No,7-Apr-25,L,No,22-Jun-25,,,,,This document details the procedure for EHS to ensure that all elements of the required hazard communication program (see the Company's Hazard Communication Standard) are implemented throughout the site.,SKU-1675304,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379336 (Rev D2 - 02/Feb/2022 10:00 AM America/Indianapolis),"4379336 SOP,EHS RECEIVING BIOLOGICAL MATERIALS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D2,No,2-Feb-22,,,,,"This document describes the procedure to be followed at Company facilities to safely receive biological materials.This procedure applies to receipt of biological materials at Eastern U.S. Applied Biosystems sites. Receipt of human blood samples to be used in sales demonstrations of Company equipment is covered in a separate SOP, Receiving and Preparing Human Blood Samples for Use in Equipment Demonstrations.",SKU-1675305,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379442 (Rev E - 18/Dec/2024 10:00 AM America/Indianapolis),"4379442 FORM, CLEANING SHEET V-1470 (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,E,No,18-Dec-24,,,,,Refer to UOP 4376775 (Novus Fill Vessel Operation and Cleaning) for a detailed description of each step.,SKU-1675306,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379443 (Rev D - 02/Dec/2024 10:00 AM America/Indianapolis),"4379443 PROC, SCREENING SYSTEM OPR/CLEANING (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D,No,2-Dec-24,,,,,"The purpose of this document is to define the procedure required to operate and clean the screening system used to separate the correctly sized resin, from fines and coarse resin.This procedure covers all unit operations of the Novus screening system. This procedure applies whenever the Novus screening system is used. This document should be utilized by qualified production personnel.",SKU-1675307,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379564 (Rev B3 - 31/Oct/2022 11:00 AM America/Indianapolis),"4379564 PROC, PASA POLYMER TITRATION (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,B3,No,31-Oct-22,,,,,"This SOP details the operation of the DL50 Auto-Titrator for the determination of the acid concentration of XTERMINATOR coating polymer, poly(anetholesulfonic acid).This procedure is to be used primarily by the Quality Control and Manufacturing departments.",SKU-1675308,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379565 (Rev D - 05/Nov/2024 10:00 AM America/Indianapolis),"4379565 PROC, PASA EFFLUENT CONC BY UV ANALYSIS (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,D,No,5-Nov-24,,,,,This document details the method for performing wavelength scans and determining PASA polymer and effluent concentration using ultraviolet (UV) absorbance.The test should be run on all applicable PASA solutions analyzed by Quality Control as a part of the departments test protocols to determine batch/ raw material acceptability.,SKU-1675309,Y,,No,Days,28,Event,,,,,
DOC LSG-BED-4379566 (Rev B - 05/Nov/2024 10:00 AM America/Indianapolis),"4379566 FORM, PASA COATING & EFFLUENT CONC (PPA MA Sites)",BED,REQ,,,Yes,No,8-Apr-25,B,No,5-Nov-24,,,,,Testing form when running PASA coating & effluent concentration,SKU-1675310,Y,,No,Days,28,Event,,,,,
